_id,ID,YEAR_FUNDED,GROUP_NAME,PROJECT_NAME,GARDEN_TYPE,NUMBER_OF_GARDENS,ESTIMATED_GARDEN_SIZE,NEIGHBOURHOOD_NUMBER,NIA_OR_EN,PRIMARY_LOCATION_NAME,PRIMARY_GARDEN_ADDRESS,POSTAL_CODE,IS_INDIGENOUS_GARDEN,WARD_NAME,WARD_NUMBER,DESCRIPTION,IMAGE_NAME,IMAGE_ALT_TEXT,geometry
1,1,2020,Appleton Ave. Community Organization,Appleton Ave. Pollinator Corridor,Multiple Front Yard Gardens,18,1250,92,None,Private Residential Property,14 Appleton Avenue,M6E 3A4,None,Davenport,9,None,None,None,"{""coordinates"": [[-79.43796221, 43.67956399]], ""type"": ""MultiPoint""}"
2,2,2020,Centre for Immigrant and Community Services (CICS),The ENRICH Pollinator Garden,Communal Garden,4,114.25,128,None,Centre for Immigrant and Community Services,2330 Midland Avenue,M1S 5G5,None,Scarborough-Agincourt,22,None,None,None,"{""coordinates"": [[-79.2760134, 43.77838864]], ""type"": ""MultiPoint""}"
3,3,2020,Chester School Pollinator Garden Team,Chester School Pollinator Garden,School Learning Garden,1,34,57,None,Chester Elementary School,115 Gowan Avenue,M4K 2E4,None,Toronto-Danforth,14,None,None,None,"{""coordinates"": [[-79.35170998, 43.68760238]], ""type"": ""MultiPoint""}"
4,4,2020,CSPC - Transfiguration,Transfiguration Pollinator Garden,School Learning Garden,1,22,7,None,Transfiguration of Our Lord Catholic School,55 Ludstone Drive,M9R 2J2,None,Etobicoke Centre,2,None,None,None,"{""coordinates"": [[-79.56287403, 43.69152984]], ""type"": ""MultiPoint""}"
5,5,2020,Danforth Gardens Neighbourhood Association,Danforth Gardens Neighbourhood Pollinator Corridor,Multiple Front Yard Gardens,7,28,120,None,Private Residential Property,64 Clapperton Avenue,M1L 4K7,None,Scarborough Southwest,20,None,None,None,"{""coordinates"": [[-79.27634928, 43.71211445]], ""type"": ""MultiPoint""}"
6,6,2020,David Hornell Junior School & Mimico Residents Association,David Hornell Pollinator Gardens,School Learning Garden,3,111,161,None,David Hornell Junior Public School,32 Victoria Street,M8V 1M6,None,Etobicoke-Lakeshore,3,None,None,None,"{""coordinates"": [[-79.48889366, 43.61933328]], ""type"": ""MultiPoint""}"
7,7,2020,Evergreen,Pollinator Revitalization Project,Communal Garden,6,123,56,None,Evergreen Brick Works,550 Bayview Avenue,M4W 3X8,None,University-Rosedale,11,None,None,None,"{""coordinates"": [[-79.36562797, 43.68378335]], ""type"": ""MultiPoint""}"
8,8,2020,FJR Pollinator Project,FJR Pollinator Garden,School Learning Garden,3,46.5,18,None,Father John Redmond Catholic Secondary School and Regional Arts Centre,28 Colonel Samuel Smith Park Drive,M8V 4B6,None,Etobicoke-Lakeshore,3,None,None,None,"{""coordinates"": [[-79.51653877, 43.59514135]], ""type"": ""MultiPoint""}"
9,9,2020,Garrison Creek Park Community Garden (GCPCG),Garrison Creek Park Pollinator Gardens,City Park,3,48,94,None,Garrison Creek Park,1090 Shaw Street,M6G 4B4,None,Toronto-St. Paul's,12,None,None,None,"{""coordinates"": [[-79.42730545, 43.67169486]], ""type"": ""MultiPoint""}"
10,10,2020,George Chuvalo Community Center & Christie Ossington Neighbourhood Center,GCCC Gardens,Communal Garden,2,34,171,None,George Chuvalo Community Center,50 Sousa Mendes Street,M6P 3Z5,None,Davenport,9,None,None,None,"{""coordinates"": [[-79.45403412, 43.66179166]], ""type"": ""MultiPoint""}"
